state,user,2020,2021,2022,2023,2024
Arizona,** Arizona TOTAL **,2470776,2425736,2014176,1889517,1934518
Arizona,Central Arizona Project,1402537,,,,
Arizona,Central Arizona Water Conservation District,,1357868,957248,818265,883684
Arizona,Colorado River Indian Reservation,202463,225527,264176,343323,342944
Arizona,"MOD Return 7 8,874 7,700 8,628 8,148 8,553 8,108 8,214 8,580 8,632 8,056 8,755 8,763 101,011",,262119,,,
Arizona,"MOD Return 5 8,819 7,940 8,194 7,720 7,877 7,400 7,952 7,687 8,289 8,981 8,801 8,817 98,477",262028,,,,
Arizona,"MOD Return 7 8,620 7,882 8,220 7,964 7,970 7,864 8,348 8,058 7,816 8,533 7,935 6,606 95,816",,,256421,,
Arizona,"MOD Return 9 5,276 8,360 8,493 6,296 7,327 7,393 7,476 7,897 8,414 8,805 8,559 9,154 93,450",,,,,252784
Arizona,"MOD Return 9 8,866 7,896 8,460 6,659 8,179 8,285 8,301 4,933 3,918 5,971 6,842 8,838 87,148",,,,251797,
Arizona,Yuma County Water Users' Association,242002,250524,248612,227451,209377
Arizona,Yuma Mesa I.D.D.,156548,125647,93321,74967,67881
Arizona,Fort Mojave Indian Reservation,35656,38254,41576,35663,34575
Arizona,Yuma Irrigation District,37999,37547,36051,31908,34329
Arizona,Unit B I.D.D.,21756,16321,14868,15962,15507
Arizona,City of Yuma,14307,13511,16224,15751,17745
Arizona,Mohave Valley I.D.D.,14107,11794,10153,8367,6944
Arizona,Cibola National Wildlife Refuge,8082,10484,7338,8407,10105
Arizona,North Gila Valley Irrigation District,9829,8879,8485,8335,9916
Arizona,Lake Havasu City,7732,8009,7992,8457,9778
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 1 1 1 1 1 2 2 2 1 1 1 1 15",,8281,,,
Arizona,Arizona State Land Department,7754,7647,,3875,3189
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 8 7 2 5 8 9 14 14 11 12 11 13",,,,7266,
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 1 1 1 1 1 2 2 2 2 1 1 1 16",6706,,,,
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 9 9 9 8 9 14 15 13 10 9 9 7 121",,,6384,,
Arizona,Cibola Valley I.D.D.,6045,5945,5321,3383,2930
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 12 9 9 11 11 8 15 15 15 8 4 3 120",,,,,6033
Arizona,Gila Monster Farms,4304,4436,4390,4401,4398
Arizona,Arizona State Land Deparment,,,4347,,
Arizona,"Farm Ditch Diversion 3 -4 1 344 670 1,033 603 477 291 384 141 -7 -8 3,925",,3871,,,
