state,user,2020,2021,2022,2023,2024
Arizona,** Arizona TOTAL **,2470776,2425736,2014176,1889517,1934518
Arizona,Central Arizona Water Conservation District,,1357868,957248,818265,883684
Arizona,Colorado River Indian Reservation,202463,225527,264176,343323,342944
Arizona,Yuma County Water Users' Association,242002,250524,248612,227451,209377
Arizona,Yuma Mesa I.D.D.,156548,125647,93321,74967,67881
Arizona,Fort Mojave Indian Reservation,35656,38254,41576,35663,34575
Arizona,Yuma Irrigation District,37999,37547,36051,31908,34329
Arizona,Unit B I.D.D.,21756,16321,14868,15962,15507
Arizona,City of Yuma,14307,13511,16224,15751,17745
Arizona,Lake Havasu City,7732,8009,7992,8457,9778
Arizona,Cibola National Wildlife Refuge,8082,10484,7338,8407,10105
Arizona,Mohave Valley I.D.D.,14107,11794,10153,8367,6944
Arizona,North Gila Valley Irrigation District,9829,8879,8485,8335,9916
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 8 7 2 5 8 9 14 14 11 12 11 13",,,,7266,
Arizona,Gila Monster Farms,4304,4436,4390,4401,4398
Arizona,Arizona State Land Department,7754,7647,,3875,3189
Arizona,Cibola Valley I.D.D.,6045,5945,5321,3383,2930
Arizona,Imperial National Wildlife Refuge,2978,2344,2774,3004,3086
Arizona,Arizona Game and Fish Commission,2014,2552,2029,2026,2026
Arizona,"Farm Ditch Diversion 2 0 0 119 336 323 296 209 9 10 2 0 0 1,304",,,,1876,
Arizona,Cocopah Indian Reservation,1405,1253,1428,1499,1550
Arizona,Surface delivery to Ranch 5 Diversion 34 32 98 155 128 55 100 65 75 122 76 45 985,,,,1493,
Arizona,"Cha Cha, LLC",693,877,1341,1106,
Arizona,"U.S. Marine Corps Air Station, Yuma",,,,1069,564
Arizona,Mohave Water Conservation District,730,809,743,884,902
Arizona,Delivered via GGMC Diversion 7 40 54 66 81 100 111 109 81 50 36 38 29 795,,,,864,
Arizona,"EPCOR Water Arizona, Inc.",531,903,877,851,884
Arizona,Bureau of Land Management,857,892,1428,822,820
Arizona,University of Arizona,802,974,741,634,557
Arizona,Beattie Farms Southwest (Russell Youmans),627,585,595,555,671
Arizona,U.S. Army Yuma Proving Grounds,493,385,386,400,490
Arizona,Delivered via GGMC Diversion 3 2 37 43 84 22 57 23 41 80 43 15 450,,,,293,
Arizona,Cocopah Indian Tribe (PPR No. 7),150,339,276,248,248
Arizona,Gary Pasquinelli,212,170,212,234,247
Arizona,Town of Parker,389,373,225,225,226
Arizona,Delivered via GGMC Diversion 14 7 8 0 48 36 8 22 16 23 23 6 211,,,,137,
Arizona,Bishop Family Trust,,,197,117,142
Arizona,Power 6,,,,106,77
Arizona,Armon Curtis,112,162,115,100,130
Arizona,Cibola Sportsmans Club,,,147,97,111
Arizona,Bureau of Reclamation's Yuma Area Office,80,95,61,96,72
Arizona,Griffin Ranches (PPR No. 7),79,98,115,89,116
Arizona,Crystal Beach Water Conservation District,73,73,73,73,73
Arizona,Yuma Union High School District,118,117,106,43,72
Arizona,"Western Water, LLC",60,64,64,31,26
Arizona,Cibola Island 6,,,,21,596
Arizona,Ehrenberg Improvement District,260,232,278,20,307
Arizona,National Park Service,213,226,234,20,249
Arizona,Golden Shores Water Conservation District,290,290,289,19,290
Arizona,Cathcarts,,,66,5,3
Arizona,"JRJ Partners, LLC",666,662,522,4,507
Arizona,Central Arizona Project,1402537,,,,
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 1 1 1 1 1 2 2 2 1 1 1 1 15",,8281,,,
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 1 1 1 1 1 2 2 2 2 1 1 1 16",6706,,,,
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 9 9 9 8 9 14 15 13 10 9 9 7 121",,,6384,,
