lake,year,water_acres,water_km2
Lake Mead,2019,79957,323.6
Lake Mead,2020,80638,326.3
Lake Mead,2021,74867,303.0
Lake Mead,2022,66656,269.7
Lake Mead,2023,70600,285.7
Lake Mead,2024,72968,295.3
Lake Mead,2025,69675,282.0
Lake Mead,2026,66137,267.6
Lake Powell,2019,88589,358.5
Lake Powell,2020,77612,314.1
Lake Powell,2021,60826,246.2
Lake Powell,2022,49730,201.2
Lake Powell,2023,66597,269.5
Lake Powell,2024,65664,265.7
Lake Powell,2025,58567,237.0
Lake Powell,2026,45260,183.2
Lake Mohave,2019,25902,104.8
Lake Mohave,2020,26098,105.6
Lake Mohave,2021,26076,105.5
Lake Mohave,2022,25602,103.6
Lake Mohave,2023,25811,104.5
Lake Mohave,2024,26076,105.5
Lake Mohave,2025,25622,103.7
Lake Mohave,2026,25296,102.4
Lake Havasu,2019,15332,62.0
Lake Havasu,2020,15350,62.1
Lake Havasu,2021,15385,62.3
Lake Havasu,2022,15375,62.2
Lake Havasu,2023,15336,62.1
Lake Havasu,2024,15334,62.1
Lake Havasu,2025,15346,62.1
Lake Havasu,2026,15310,62.0
Flaming Gorge,2019,37004,149.7
Flaming Gorge,2020,35234,142.6
Flaming Gorge,2021,33691,136.3
Flaming Gorge,2022,31049,125.7
Flaming Gorge,2023,34877,141.1
Flaming Gorge,2024,35620,144.1
Flaming Gorge,2025,34425,139.3
Flaming Gorge,2026,30485,123.4
Navajo Reservoir,2019,12471,50.5
Navajo Reservoir,2020,11347,45.9
Navajo Reservoir,2021,9553,38.7
Navajo Reservoir,2022,8908,36.0
Navajo Reservoir,2023,11667,47.2
Navajo Reservoir,2024,10693,43.3
Navajo Reservoir,2025,9629,39.0
Navajo Reservoir,2026,9168,37.1
Blue Mesa,2019,7703,31.2
Blue Mesa,2020,6617,26.8
Blue Mesa,2021,5380,21.8
Blue Mesa,2022,5171,20.9
Blue Mesa,2023,6908,28.0
Blue Mesa,2024,6849,27.7
Blue Mesa,2025,6270,25.4
Blue Mesa,2026,4567,18.5
